prevailing_wage,continent_Asia,continent_Europe,continent_North America,continent_Oceania,continent_South America,education_of_employee_Doctorate,education_of_employee_High School,education_of_employee_Master's,has_job_experience_Y,requires_job_training_Y,no_of_employees_Medium_Sized(2500-7500employees),no_of_employees_Large_Sized(>75000employees),yr_of_estab_Newer_Estab(>1990),region_of_employment_Midwest,region_of_employment_Northeast,region_of_employment_South,region_of_employment_West,unit_of_wage_Not_Hourly,full_time_position_Y
51048.867999999995,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
54216.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
114496.51,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1
52766.14,1,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,1,1
99349.92,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0
147057.92,1,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,1,1
44276.4088,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1
194381.79,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0
33796.7,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1
12840.17,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,1
36922.74,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1
73841.92,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0
51589.45,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,1,1
89232.45,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,1
116845.29,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1
2696.2156,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
18856.64,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1
26163.9144,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1
61784.67,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
15377.39,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,1,1
74820.92,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1
98292.99,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1
12098.3772,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1
59630.87,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1
108523.36,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0
52945.42,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1
3867.25,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,1,1,1
126123.21,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1
103997.74,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,1
44357.05,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1
51719.0388,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1
144189.29,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1
103849.19,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,1
87297.35,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,1
44595.08,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1
129265.77,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,1,1
161864.75,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1
82305.59,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,1,1
26391.3,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,1
144289.68,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1
45565.67,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1
66903.34,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1
95667.98,1,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,1,1
29779.65,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1
99846.26,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,1
15082.64,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,1
126270.65,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1
30259.938800000004,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
83284.64,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1
108404.3,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1
39783.68,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1
108517.87,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,1
15285.98,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,1
124031.52,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1
112031.35,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0
171016.37,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1
20180.49,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,1
157353.37,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0
128894.18,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1
6906.639999999999,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,1
86950.52,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1
29449.49,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,1
71246.41,0,1,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,1,0
127064.3,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0
87988.81,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0
49980.64,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,1
111871.22,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,1,1
102219.15,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1
52692.82,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,1
32799.26,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
10804.93,1,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,1,1
101388.93,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,1
133323.08,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
4657.16,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,1
29523.7436,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1
66153.49,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,1,1
119860.3,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1
81938.65,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1
103870.68,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1
37076.2132,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1
16193.200399999998,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
85253.63,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1
135705.29,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,1
189017.09,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,1
48507.76,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1
113641.63,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1
46531.67,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1
150115.69,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1,1
55402.33,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1
70899.61,1,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,1,1
98642.49,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,1
125457.0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0
91081.82,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1
87658.14,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0
90866.45,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1
144172.85,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0
37650.38,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1
48764.07,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,1
73749.93,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1
96508.0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1
116757.17,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
132121.62,1,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,0,1,1
37780.69,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1
15607.72,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,1
69909.27,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1
88404.18,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1
145160.91,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1
80350.45,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,1
9468.7164,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1
88620.95,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1
111593.38,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1
48430.78,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1
26887.6,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1
37111.97,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,1,1
141198.73,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1
41629.7,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1
89260.33,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,1
123329.52,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1
23055.29,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1
60636.47,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0
6168.39,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1
91790.23,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1
19585.3,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,1
66063.41,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,1
50200.5,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,1
34288.35,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
50087.69,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1
87122.42,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0
66851.07,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1
90347.6,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,1
91060.12,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1
145363.03,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1
3566.95,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1
33541.02,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1
38424.53,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,1,1
43769.73,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,1
71142.72,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1
23849.1812,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1
95315.93,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1
15064.83,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1
53138.65,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1
16905.6524,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1
12649.43,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,1
128215.82,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1
56416.43,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1
98621.04,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,1
198695.38,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,1
110954.36,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1
130279.37,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0
85012.84,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1
129562.3,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,1
107600.98,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0
48974.94,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1
26970.54,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1
85376.23,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1
62363.94,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1
97934.85,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1
10003.24,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
81274.38,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1
39013.19,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,1
41464.2852,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1
127982.72,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
66500.05,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1
54144.73,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1
50834.53,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,1
75653.41,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1
177.89,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,1,1
88711.8,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1
167073.5,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,1
115969.51,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,1
162945.06,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1
42298.053199999995,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
50970.7328,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1
41929.9504,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1
63593.38,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,1,1
26494.5,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,1
38130.68,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,1,1
35335.48,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1
144598.88,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,1,1,1
104250.86,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,1
83395.19,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
66349.74,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,1,1
109080.56,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1
141775.1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0
87570.13,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1
14965.9016,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1
64802.34,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,1
46823.16,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1
33417.8416,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1
32903.96,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0
128902.6,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1
101561.38,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1
47699.08,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1
15592.02,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,1
16230.33,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1
108705.81,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,1,1,1
5226.52,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1
6093.16,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,1
22372.0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,1
33801.96,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1
52812.07,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,1
92075.89,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1
187814.99,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1
51763.05,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1
127408.62,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1
125070.57,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1
56307.58,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,1,1
75555.93,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,1,1
164679.97,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1
61881.35,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1
73486.01,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1
62914.53,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1
27948.84,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1
52250.72,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,1,1
8153.08,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1
58351.76,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1
3781.71,0,1,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,1,1
38579.29,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1
28631.58,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1
112103.46,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1
104040.79,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
41738.38,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,1
31424.03,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,1
97321.02,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
125869.86,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1,1
112579.6,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1
19367.92,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,1
60165.78,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1
18335.26,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,1
39315.41,1,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,1,0
80055.33,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,1
95496.49,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1
116073.68,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,1
203274.56,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
75680.3,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1
134029.15,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1
98718.96,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1
67459.38,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1
104330.04,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,1
22532.21,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,1
29770.728,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
41183.06,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
118334.04,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,1,0,1,1
147625.12,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0
23615.34,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,1,1
1323.9,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1,1
114686.72,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1
56511.16,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1
64340.87,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1
113421.74,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,1
152651.34,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1
206777.29,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,1
126884.34,1,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0
72019.39,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
70191.7,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1
67931.37,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1
53809.81,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,1
73494.54,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,1
111472.81,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,1
35851.6,1,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,1,1
86478.69,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,1
36456.21,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1
25554.17,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,1
245819.17,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
82152.69,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1
64469.58,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,1
77899.94,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,1
41809.42479999999,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1
39900.47,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1
117113.41,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1
60541.5,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1
33894.67,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1
10376.12,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1
69934.88,0,0,1,0,0,0,0,1,1,0,1,0,1,0,1,0,0,1,1
99796.88,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,1
73274.64,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1
69258.94,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,1
22454.9572,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1
51149.81,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1
32543.888000000003,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1
74396.6,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1
71605.64,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1
28677.45,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,1,1
107759.13,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1
92599.64,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1
89251.11,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1
49515.34,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1
43932.29,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1
59368.0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0
81713.84,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,1,1
824.58,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,1,1
239465.3,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,1
90538.2,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0
48669.94,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1
30861.02,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1
35315.64,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1
1289.4180000000001,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1
164127.41,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1
82467.19,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1
52034.74,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
91471.66,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1,1
100112.71,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1
4110.43,0,1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,1,1
66323.09,0,0,1,0,0,0,0,1,1,1,1,0,1,0,0,1,0,1,1
143086.82,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1
85340.66,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
82990.33,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1
63957.39,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1
19130.72,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1
159140.16,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0
103942.73,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1
42684.51,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1
103795.42,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1,1
42451.359599999996,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1
54959.8,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1
2530.09,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,1
26753.3,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1
6966.54,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1
33826.55,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,1
